Time Step,State,Action,Q-Value
44,75,AM,0.0
44,75,B,5.117034
44,76,AM,0.0
44,76,B,8.45183154
44,77,AM,0.0
44,77,B,5.117034
44,78,AM,0.0
44,78,B,1.0
44,79,AM,0.866438772
44,79,B,1.0
44,80,AM,0.1842927
44,80,B,11.153017547400001
44,81,AM,0.54626208
44,81,B,3.1668600000000002
44,82,AM,1.62365216001
44,82,B,5.117034
44,83,AM,0.0
44,83,B,5.117034
44,84,AM,0.35015613
44,84,B,11.153017547400001
44,85,AM,0.700575342
44,85,B,9.873508386000001
44,86,AM,0.2782834439999999
44,86,B,11.153017547400001
44,87,AM,1.7536015509
44,87,B,8.45183154
44,88,AM,1.187175039
44,88,B,8.45183154
44,89,AM,0.54066633
44,89,B,5.117034
44,90,AM,0.3748029
44,90,B,12.304575792660001
44,91,AM,0.35015613
44,91,B,11.153017547400001
44,92,AM,0.0
44,92,B,12.304575792660001
44,93,AM,0.35015613
44,93,B,5.117034
44,94,AM,0.0
44,94,B,5.117034
44,95,AM,0.0
44,95,B,1.0
44,96,AM,0.0
44,96,B,3.1668600000000002
44,97,AM,0.0
44,97,B,1.0
44,98,AM,0.0
44,98,B,3.1668600000000002
44,99,AM,0.0
44,99,B,1.0
44,100,AM,-9.999999999999993
44,100,B,22.668599999999984
45,0,AM,0.0
45,0,B,0.0
45,1,AM,1.0
45,1,B,0.0
45,2,AM,1.3491122100000001
45,2,B,0.0
45,3,AM,1.3564141800000002
45,3,B,3.2930500000000005
45,4,AM,1.0
45,4,B,0.0
45,5,AM,0.1842756
45,5,B,6.7364738
45,6,AM,0.1842756
45,6,B,9.668425778
45,7,AM,0.0
45,7,B,6.7364738
45,8,AM,0.3828363000000001
45,8,B,3.11678
45,9,AM,0.0
45,9,B,3.11678
45,10,AM,0.1842756
45,10,B,1.0
45,11,AM,0.1842756
45,11,B,6.7364738
45,12,AM,0.0
45,12,B,6.7364738
45,13,AM,0.0
45,13,B,3.11678
45,14,AM,0.1842756
45,14,B,1.0
45,15,AM,0.0
45,15,B,3.11678
45,16,AM,0.0
45,16,B,3.11678
45,17,AM,0.0
45,17,B,5.021882
45,18,AM,0.0
45,18,B,1.0
45,19,AM,0.0
45,19,B,6.7364738
45,20,AM,0.0
45,20,B,3.11678
45,21,AM,0.0
45,21,B,3.11678
45,22,AM,0.0
45,22,B,1.0
45,23,AM,0.35012364
45,23,B,1.0
45,24,AM,0.0
45,24,B,1.0
45,25,AM,0.1842756
45,25,B,5.021882
45,26,AM,0.1842756
45,26,B,1.0
45,27,AM,0.0
45,27,B,5.021882
45,28,AM,0.1842756
45,28,B,3.11678
45,29,AM,0.0
45,29,B,1.0
45,30,AM,0.1842756
45,30,B,3.11678
45,31,AM,0.0
45,31,B,3.11678
45,32,AM,0.0
45,32,B,1.0
45,33,AM,0.0
45,33,B,6.7364738
45,34,AM,0.0
45,34,B,5.021882
45,35,AM,0.1842756
45,35,B,1.0
45,36,AM,0.1842756
45,36,B,1.0
45,37,AM,0.1842756
45,37,B,5.021882
45,38,AM,0.0
45,38,B,1.0
45,39,AM,0.0
45,39,B,1.0
45,40,AM,0.0
45,40,B,3.11678
45,41,AM,0.0
45,41,B,3.11678
45,42,AM,0.0
45,42,B,1.0
45,43,AM,0.1842756
45,43,B,6.7364738
45,44,AM,0.1842756
45,44,B,3.11678
45,45,AM,0.0
45,45,B,1.0
45,46,AM,0.0
45,46,B,1.0
45,47,AM,0.0
45,47,B,1.0
45,48,AM,0.0
45,48,B,3.11678
45,49,AM,0.0
45,49,B,1.0
45,50,AM,0.0
45,50,B,1.0
45,51,AM,0.0
45,51,B,1.0
45,52,AM,0.1842756
45,52,B,1.0
45,53,AM,0.0
45,53,B,1.0
45,54,AM,0.0
45,54,B,1.0
45,55,AM,0.0
45,55,B,1.0
45,56,AM,0.0
45,56,B,1.0
45,57,AM,0.0
45,57,B,1.0
45,58,AM,0.0
45,58,B,1.0
45,59,AM,0.0
45,59,B,3.11678
45,60,AM,0.1842756
45,60,B,3.11678
45,61,AM,0.0
